Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (in)
syn_event_1006_L-H-L_1992-10-07_01-00-00_SM3_BF1_SLR4,SUCCESS,10.3325,44,,56727.,0.9185,0.96,May 28 01:08,May 28 11:28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1006_L-L-H_2012-08-27_15-00-00_SM3_BF1_SLR4,SUCCESS,10.268611111111111,44,,70666.,1.132,1.41,May 30 13:44,May 31 00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1007_L-H-L_2002-10-15_12-00-00_SM3_BF1_SLR4,SUCCESS,11.235833333333332,48,,37179.,0.5901,1.89,May 28 01:10,May 28 12:24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1007_L-L-H_2017-04-04_17-00-00_SM3_BF1_SLR4,SUCCESS,7.335833333333333,32,,28962.,0.4826,0.91,May 30 13:44,May 30 21:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1008_L-H-L_2019-11-08_12-00-00_SM3_BF1_SLR4,SUCCESS,9.091666666666667,40,,44730.,0.7108,1.34,May 28 01:11,May 28 10:16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1008_L-L-H_1994-03-02_12-00-00_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,May 30 13:41,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1009_L-H-L_1995-05-21_10-00-00_SM3_BF1_SLR4,SUCCESS,7.940555555555556,32,,21539.,0.3498,0.29,May 28 01:08,May 28 09:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1009_L-L-H_1982-04-08_12-00-00_SM3_BF1_SLR4,SUCCESS,9.795,40,,70999.,1.110,4.31,May 30 13:44,May 30 23:31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_100_H-H-H_2021-11-05_15-00-00_SM3_BF1_SLR4,SUCCESS,11.89861111111111,48,,25722.,0.3878,3.08,May 27 01:36,May 27 13:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_100_H-H-L_2004-09-20_07-00-00_SM3_BF1_SLR4,SUCCESS,8.971666666666668,36,,54465.,0.9144,0.97,May 27 01:54,May 27 10:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_100_H-L-H_2006-12-25_15-00-00_SM3_BF1_SLR4,SUCCESS,11.686388888888889,48,,33605.,0.5353,4.88,May 27 02:06,May 27 13:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_100_H-L-L_2017-01-23_00-00-00_SM3_BF1_SLR4,SUCCESS,6.802777777777778,28,,16575.,0.2842,0.44,May 27 02:06,May 27 08:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_100_L-H-H_2015-01-12_23-00-00_SM3_BF1_SLR4,SUCCESS,9.688055555555556,40,,26837.,0.4207,2.26,May 28 01:11,May 28 10:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_100_L-H-L_1991-01-25_12-00-00_SM3_BF1_SLR4,SUCCESS,8.963333333333333,36,,52552.,0.8794,1.27,May 28 01:09,May 28 10:07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_100_L-L-H_1985-04-13_08-00-00_SM3_BF1_SLR4,SUCCESS,11.295,48,,24679.,0.3978,2.29,May 30 13:44,May 31 01:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1010_L-L-H_2019-10-07_22-00-00_SM3_BF1_SLR4,SUCCESS,8.465833333333332,36,,35343.,0.5521,2.05,May 30 13:44,May 30 22:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1011_L-H-L_1986-12-22_08-00-00_SM3_BF1_SLR4,SUCCESS,10.699444444444445,44,,34549.,0.5481,1.05,May 28 01:09,May 28 11:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1011_L-L-H_2003-04-26_08-00-00_SM3_BF1_SLR4,SUCCESS,9.093333333333334,40,,28989.,0.4528,1.33,May 30 13:44,May 30 22:49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1012_L-H-L_2012-06-15_13-00-00_SM3_BF1_SLR4,SUCCESS,8.1075,36,,51203.,0.7907,0.82,May 28 01:09,May 28 09:15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1012_L-L-H_2023-11-16_23-00-00_SM3_BF1_SLR4,SUCCESS,10.42611111111111,44,,34842.,0.5347,0.99,May 30 13:44,May 31 00:10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1013_L-H-L_2020-06-16_01-00-00_SM3_BF1_SLR4,SUCCESS,9.738888888888889,40,,42883.,0.6832,1.90,May 28 01:10,May 28 10:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1013_L-L-H_2017-11-23_16-00-00_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,May 30 13:41,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1014_L-L-H_1981-03-22_21-00-00_SM3_BF1_SLR4,SUCCESS,9.446111111111112,40,,39546.,0.6610,1.40,May 30 13:44,May 30 23:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1015_L-H-L_2009-12-17_18-00-00_SM3_BF1_SLR4,SUCCESS,11.80888888888889,48,,36225.,0.5632,3.16,May 28 01:10,May 28 12:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1015_L-L-H_2002-12-10_02-00-00_SM3_BF1_SLR4,SUCCESS,11.075277777777778,48,,24596.,0.3735,1.23,May 30 13:44,May 31 00:49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1016_L-L-H_1984-04-04_01-00-00_SM3_BF1_SLR4,SUCCESS,10.216944444444444,44,,77485.,1.265,42.89,May 30 13:44,May 30 23:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1017_L-H-L_1992-02-10_10-00-00_SM3_BF1_SLR4,SUCCESS,6.786111111111111,28,,21204.,0.3603,0.97,May 28 01:10,May 28 07:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1017_L-L-H_1996-01-01_12-00-00_SM3_BF1_SLR4,SUCCESS,10.030555555555557,44,,41171.,0.6595,1.49,May 30 13:44,May 30 23:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1018_L-H-L_1998-08-02_12-00-00_SM3_BF1_SLR4,SUCCESS,7.903888888888889,32,,30266.,0.5571,1.02,May 28 01:09,May 28 09:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1018_L-L-H_2018-07-22_22-00-00_SM3_BF1_SLR4,SUCCESS,7.9725,32,,31043.,0.5257,4.31,May 30 13:48,May 30 21:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1019_L-H-L_2014-02-12_02-00-00_SM3_BF1_SLR4,SUCCESS,8.884166666666665,36,,46122.,0.7649,0.89,May 28 01:12,May 28 10:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1019_L-L-H_2013-12-15_08-00-00_SM3_BF1_SLR4,SUCCESS,10.431666666666667,44,,28075.,0.4887,1.14,May 30 13:48,May 31 00:14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_101_H-H-H_2011-10-08_12-00-00_SM3_BF1_SLR4,SUCCESS,10.581111111111111,44,,72146.,1.114,2.23,May 27 01:36,May 27 12:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_101_H-H-L_2016-01-05_13-00-00_SM3_BF1_SLR4,SUCCESS,10.574722222222222,44,,60320.,0.9885,1.54,May 27 01:54,May 27 12:28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_101_H-L-H_2018-12-20_15-00-00_SM3_BF1_SLR4,SUCCESS,11.088055555555556,48,,34871.,0.5474,2.91,May 27 02:07,May 27 13:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_101_H-L-L_2019-12-20_16-00-00_SM3_BF1_SLR4,SUCCESS,8.338611111111112,36,,46934.,0.7905,0.83,May 27 02:07,May 27 10:27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_101_L-H-H_2000-09-06_23-00-00_SM3_BF1_SLR4,SUCCESS,14.205555555555556,60,,20322.,0.2995,4.00,May 28 01:11,May 28 15:24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_101_L-H-L_1994-05-20_02-00-00_SM3_BF1_SLR4,SUCCESS,7.032222222222222,32,,32976.,0.4988,0.99,May 28 01:10,May 28 08:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_101_L-L-H_2005-05-31_15-00-00_SM3_BF1_SLR4,SUCCESS,9.289166666666667,40,,27047.,0.4903,0.83,May 30 13:48,May 30 23:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1020_L-H-L_2014-06-01_19-00-00_SM3_BF1_SLR4,SUCCESS,10.638055555555555,44,,20945.,0.3248,3.17,May 28 01:11,May 28 11:49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1020_L-L-H_2024-09-05_20-00-00_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,May 30 13:45,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1021_L-H-L_2016-02-07_05-00-00_SM3_BF1_SLR4,SUCCESS,9.927222222222222,40,,62429.,0.9483,2.94,May 28 01:09,May 28 11:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1021_L-L-H_1983-02-02_12-00-00_SM3_BF1_SLR4,SUCCESS,10.76,44,,56331.,0.9875,2.79,May 30 13:48,May 31 00:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1022_L-H-L_2023-09-28_03-00-00_SM3_BF1_SLR4,SUCCESS,7.573055555555555,32,,41374.,0.6286,0.97,May 28 01:11,May 28 08:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1022_L-L-H_2017-04-04_17-00-00_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,May 30 13:45,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1023_L-H-L_1991-01-25_12-00-00_SM3_BF1_SLR4,SUCCESS,8.061111111111112,36,,25763.,0.4348,1.38,May 28 01:09,May 28 09:13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1023_L-L-H_2002-12-13_06-00-00_SM3_BF1_SLR4,SUCCESS,10.192777777777778,44,,56592.,1.006,0.86,May 30 13:48,May 31 00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1024_L-H-L_2013-10-15_02-00-00_SM3_BF1_SLR4,SUCCESS,9.331388888888888,40,,23330.,0.3940,3.22,May 28 01:10,May 28 10:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1024_L-L-H_2017-05-24_20-00-00_SM3_BF1_SLR4,SUCCESS,9.620277777777778,40,,25485.,0.4157,0.51,May 30 13:48,May 30 23:25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1025_L-H-L_2005-02-01_23-00-00_SM3_BF1_SLR4,SUCCESS,15.689444444444444,64,,28086.,0.4206,4.08,May 28 01:11,May 28 16:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1025_L-L-H_1997-10-27_11-00-00_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,May 30 13:45,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1026_L-L-H_1988-01-21_10-00-00_SM3_BF1_SLR4,SUCCESS,11.950555555555555,48,,75422.,1.319,2.84,May 30 13:48,May 31 01:45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1027_L-H-L_1992-02-06_07-00-00_SM3_BF1_SLR4,SUCCESS,8.70611111111111,36,,43257.,0.7766,0.31,May 28 01:11,May 28 09:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1027_L-L-H_1979-12-06_22-00-00_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,May 30 13:45,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1028_L-H-L_2023-09-28_03-00-00_SM3_BF1_SLR4,SUCCESS,9.302777777777779,40,,56884.,0.9192,0.92,May 28 01:09,May 28 10:27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1028_L-L-H_1984-04-04_01-00-00_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,May 30 13:45,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1029_L-H-L_2016-04-15_11-00-00_SM3_BF1_SLR4,SUCCESS,10.852222222222222,44,,37382.,0.6522,2.43,May 28 01:09,May 28 12:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1029_L-L-H_1982-03-06_07-00-00_SM3_BF1_SLR4,SUCCESS,8.93388888888889,36,,31814.,0.5126,2.13,May 30 13:48,May 30 22:44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_102_H-H-H_2021-11-05_15-00-00_SM3_BF1_SLR4,SUCCESS,10.49611111111111,44,,27943.,0.4144,3.04,May 27 01:35,May 27 12:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_102_H-H-L_2016-01-05_13-00-00_SM3_BF1_SLR4,SUCCESS,10.745,44,,33244.,0.5416,1.49,May 27 01:54,May 27 12:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_102_H-L-H_2022-03-12_14-00-00_SM3_BF1_SLR4,SUCCESS,12.675277777777778,52,,25491.,0.3958,3.10,May 27 02:07,May 27 14:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_102_H-L-L_2023-03-03_21-00-00_SM3_BF1_SLR4,SUCCESS,9.388055555555555,40,,78891.,1.413,2.64,May 27 02:07,May 27 11:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_102_L-H-H_1986-01-10_08-00-00_SM3_BF1_SLR4,SUCCESS,10.300555555555556,44,,29929.,0.5275,47.00,May 28 01:11,May 28 11:29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_102_L-H-L_1993-03-19_02-00-00_SM3_BF1_SLR4,SUCCESS,6.799722222222222,28,,35771.,0.5934,4.31,May 28 01:09,May 28 07:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_102_L-L-H_1997-09-27_11-00-00_SM3_BF1_SLR4,SUCCESS,8.184444444444445,36,,39262.,0.6542,0.82,May 30 13:48,May 30 21:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1030_L-H-L_2009-12-17_18-00-00_SM3_BF1_SLR4,SUCCESS,9.459722222222222,40,,26377.,0.4490,2.67,May 28 01:11,May 28 10:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1030_L-L-H_2018-01-29_09-00-00_SM3_BF1_SLR4,SUCCESS,9.846111111111112,40,,21464.,0.3383,2.93,May 30 13:48,May 30 23:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1031_L-H-L_2018-11-23_04-00-00_SM3_BF1_SLR4,SUCCESS,14.72,60,,18155.,0.2892,7.39,May 28 01:10,May 28 15:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1031_L-L-H_2002-12-10_02-00-00_SM3_BF1_SLR4,SUCCESS,11.928333333333333,48,,19079.,0.2994,2.35,May 30 13:48,May 31 01:44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1032_L-H-L_1992-02-06_07-00-00_SM3_BF1_SLR4,SUCCESS,9.072777777777777,40,,53382.,0.8677,0.51,May 28 01:10,May 28 10:14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1032_L-L-H_2005-12-18_04-00-00_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,May 30 13:45,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1033_L-H-L_2008-09-24_00-00-00_SM3_BF1_SLR4,SUCCESS,7.781111111111111,32,,32667.,0.4890,1.15,May 28 01:11,May 28 08:58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1033_L-L-H_2018-03-20_02-00-00_SM3_BF1_SLR4,SUCCESS,7.588333333333333,32,,33533.,0.5532,0.35,May 30 13:48,May 30 21:24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1034_L-H-L_2007-09-17_09-00-00_SM3_BF1_SLR4,SUCCESS,9.725833333333334,40,,17866.,0.3176,3.41,May 28 01:10,May 28 10:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1034_L-L-H_2002-11-16_22-00-00_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,May 30 13:45,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1036_L-H-L_2009-12-17_18-00-00_SM3_BF1_SLR4,SUCCESS,10.46861111111111,44,,33871.,0.5241,2.48,May 28 01:11,May 28 11:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1036_L-L-H_2002-12-13_06-00-00_SM3_BF1_SLR4,SUCCESS,10.959444444444443,44,,28711.,0.4418,1.14,May 30 13:48,May 31 00:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1037_L-H-L_2023-09-28_03-00-00_SM3_BF1_SLR4,SUCCESS,7.975833333333333,32,,21577.,0.3128,0.20,May 28 01:10,May 28 09:08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1037_L-L-H_1999-01-24_06-00-00_SM3_BF1_SLR4,SUCCESS,9.429166666666665,40,,43561.,0.7128,3.15,May 30 13:52,May 30 23:18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1038_L-H-L_2000-01-08_22-00-00_SM3_BF1_SLR4,SUCCESS,9.151944444444444,40,,31758.,0.4954,0.73,May 28 01:10,May 28 10:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1038_L-L-H_1999-01-24_06-00-00_SM3_BF1_SLR4,SUCCESS,11.768611111111111,48,,27838.,0.3923,3.02,May 30 13:52,May 31 01:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1039_L-H-L_1979-02-17_21-00-00_SM3_BF1_SLR4,SUCCESS,12.1,52,,42928.,0.6844,2.56,May 28 01:10,May 28 13:16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1039_L-L-H_2005-06-30_03-00-00_SM3_BF1_SLR4,SUCCESS,8.889722222222222,36,,26956.,0.4610,0.61,May 30 13:53,May 30 22:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_103_H-H-H_2011-10-08_12-00-00_SM3_BF1_SLR4,SUCCESS,9.621944444444445,40,,72193.,1.093,2.21,May 27 01:35,May 27 11:13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_103_H-H-L_1989-03-10_05-00-00_SM3_BF1_SLR4,SUCCESS,10.328055555555554,44,,29138.,0.4562,0.84,May 27 01:54,May 27 12:13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_103_H-L-H_2005-07-10_09-00-00_SM3_BF1_SLR4,SUCCESS,9.183333333333334,40,,41810.,0.6899,1.00,May 27 02:06,May 27 11:17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_103_H-L-L_2023-12-14_17-00-00_SM3_BF1_SLR4,SUCCESS,12.735277777777776,52,,48087.,0.8221,1.71,May 27 02:07,May 27 14:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_103_L-H-H_1998-02-15_20-00-00_SM3_BF1_SLR4,SUCCESS,10.960277777777778,44,,46253.,0.6886,2.98,May 28 01:08,May 28 12:06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_103_L-H-L_1994-11-12_12-00-00_SM3_BF1_SLR4,SUCCESS,9.760555555555555,40,,30541.,0.5075,0.42,May 28 01:10,May 28 10:55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_103_L-L-H_1996-03-31_01-00-00_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,May 30 13:49,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1040_L-L-H_2014-03-29_17-00-00_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,May 30 13:49,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1041_L-H-L_1993-01-20_14-00-00_SM3_BF1_SLR4,SUCCESS,9.36888888888889,40,,25920.,0.4411,3.17,May 28 01:10,May 28 10:32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1041_L-L-H_1997-10-27_11-00-00_SM3_BF1_SLR4,SUCCESS,9.796111111111111,40,,25600.,0.4237,3.04,May 30 13:52,May 30 23:40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1042_L-H-L_1985-09-14_04-00-00_SM3_BF1_SLR4,SUCCESS,8.155555555555557,36,,19451.,0.3212,1.03,May 28 01:09,May 28 09:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1042_L-L-H_2016-02-04_23-00-00_SM3_BF1_SLR4,SUCCESS,10.580277777777777,44,,37999.,0.5877,3.12,May 30 13:52,May 31 00:27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
syn_event_1043_L-H-L_1982-10-24_09-00-00_SM3_BF1_SLR4,SUCCESS,7.592777777777777,32,,19431.,0.3179,47.00,May 28 01:09,May 28 08:45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
